sofifa_id,player_url,short_name,long_name,reconciliation_player,wikidata_player,member of sports team,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,reconciliation_club,league,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
227246,https://sofifa.com/player/227246/lucy-bronze/220002,L. Bronze,Lucia Roberta Tough Bronze,Lucy Bronze,http://www.wikidata.org/entity/Q6698219,Manchester City W.F.C.,RB,92,92,,,29,171,67,,Manchester City W.F.C.,,,,,,,,,,14,England,113002,RB,2,Right,3,3,5,High/High,Normal (170-185),,#Engine,Long Throw-in,86,61,70,81,89,84,78,60,88,84,35,79,39,45,63,85,87,86,73,93,82,69,84,94,82,65,78,89,57,58,53,80,90,88,89,10,14,16,8,15,,77,77,77,76,75,75,75,76,77,77,77,81,80,80,80,81,90,87,87,87,90,91,90,90,90,91,24
227246,https://sofifa.com/player/227246/lucy-bronze/220002,L. Bronze,Lucia Roberta Tough Bronze,Lucy Bronze,http://www.wikidata.org/entity/Q6698219,Manchester City W.F.C., CM,92,92,,,29,171,67,,Manchester City W.F.C.,,,,,,,,,,14,England,113002,RB,2,Right,3,3,5,High/High,Normal (170-185),, #Tackling, Leadership,86,61,70,81,89,84,78,60,88,84,35,79,39,45,63,85,87,86,73,93,82,69,84,94,82,65,78,89,57,58,53,80,90,88,89,10,14,16,8,15,,77,77,77,76,75,75,75,76,77,77,77,81,80,80,80,81,90,87,87,87,90,91,90,90,90,91,24
227246,https://sofifa.com/player/227246/lucy-bronze/220002,L. Bronze,Lucia Roberta Tough Bronze,Lucy Bronze,http://www.wikidata.org/entity/Q6698219,Manchester City W.F.C., CM,92,92,,,29,171,67,,Manchester City W.F.C.,,,,,,,,,,14,England,113002,RB,2,Right,3,3,5,High/High,Normal (170-185),, #Tactician, Speed Dribbler (AI),86,61,70,81,89,84,78,60,88,84,35,79,39,45,63,85,87,86,73,93,82,69,84,94,82,65,78,89,57,58,53,80,90,88,89,10,14,16,8,15,,77,77,77,76,75,75,75,76,77,77,77,81,80,80,80,81,90,87,87,87,90,91,90,90,90,91,24
227246,https://sofifa.com/player/227246/lucy-bronze/220002,L. Bronze,Lucia Roberta Tough Bronze,Lucy Bronze,http://www.wikidata.org/entity/Q6698219,Manchester City W.F.C., CM,92,92,,,29,171,67,,Manchester City W.F.C.,,,,,,,,,,14,England,113002,RB,2,Right,3,3,5,High/High,Normal (170-185),, #Tactician, Power Header,86,61,70,81,89,84,78,60,88,84,35,79,39,45,63,85,87,86,73,93,82,69,84,94,82,65,78,89,57,58,53,80,90,88,89,10,14,16,8,15,,77,77,77,76,75,75,75,76,77,77,77,81,80,80,80,81,90,87,87,87,90,91,90,90,90,91,24
227316,https://sofifa.com/player/227316/wendie-renard/220002,W. Renard,Wéndèleine Thérèse Renard,Wendie Renard,http://www.wikidata.org/entity/Q437048,Olympique Lyonnais Féminin,CB,92,92,,,30,187,70,,Olympique Lyonnais Féminin,,,,,,,,,,18,France,113003,LCB,3,Right,2,2,5,High/Medium,Lean (185+),,#Aerial Threat,Leadership,68,70,62,73,91,88,25,70,94,83,41,69,49,58,78,85,69,67,56,84,44,85,94,77,93,63,88,88,70,55,60,80,90,93,91,7,14,17,11,15,,80,80,80,68,74,74,74,68,76,76,76,72,80,80,80,72,79,88,88,88,79,83,92,92,92,83,23
227316,https://sofifa.com/player/227316/wendie-renard/220002,W. Renard,Wéndèleine Thérèse Renard,Wendie Renard,http://www.wikidata.org/entity/Q437048,Olympique Lyonnais Féminin,CB,92,92,,,30,187,70,,Olympique Lyonnais Féminin,,,,,,,,,,18,France,113003,LCB,3,Right,2,2,5,High/Medium,Lean (185+),, #Tackling, Power Header,68,70,62,73,91,88,25,70,94,83,41,69,49,58,78,85,69,67,56,84,44,85,94,77,93,63,88,88,70,55,60,80,90,93,91,7,14,17,11,15,,80,80,80,68,74,74,74,68,76,76,76,72,80,80,80,72,79,88,88,88,79,83,92,92,92,83,23
227316,https://sofifa.com/player/227316/wendie-renard/220002,W. Renard,Wéndèleine Thérèse Renard,Wendie Renard,http://www.wikidata.org/entity/Q437048,Olympique Lyonnais Féminin,CB,92,92,,,30,187,70,,Olympique Lyonnais Féminin,,,,,,,,,,18,France,113003,LCB,3,Right,2,2,5,High/Medium,Lean (185+),, #Tactician, Team Player,68,70,62,73,91,88,25,70,94,83,41,69,49,58,78,85,69,67,56,84,44,85,94,77,93,63,88,88,70,55,60,80,90,93,91,7,14,17,11,15,,80,80,80,68,74,74,74,68,76,76,76,72,80,80,80,72,79,88,88,88,79,83,92,92,92,83,23
227316,https://sofifa.com/player/227316/wendie-renard/220002,W. Renard,Wéndèleine Thérèse Renard,Wendie Renard,http://www.wikidata.org/entity/Q437048,Olympique Lyonnais Féminin,CB,92,92,,,30,187,70,,Olympique Lyonnais Féminin,,,,,,,,,,18,France,113003,LCB,3,Right,2,2,5,High/Medium,Lean (185+),, #Strength, Team Player,68,70,62,73,91,88,25,70,94,83,41,69,49,58,78,85,69,67,56,84,44,85,94,77,93,63,88,88,70,55,60,80,90,93,91,7,14,17,11,15,,80,80,80,68,74,74,74,68,76,76,76,72,80,80,80,72,79,88,88,88,79,83,92,92,92,83,23
227316,https://sofifa.com/player/227316/wendie-renard/220002,W. Renard,Wéndèleine Thérèse Renard,Wendie Renard,http://www.wikidata.org/entity/Q437048,Olympique Lyonnais Féminin,CB,92,92,,,30,187,70,,Olympique Lyonnais Féminin,,,,,,,,,,18,France,113003,LCB,3,Right,2,2,5,High/Medium,Lean (185+),, #Complete Defender, Team Player,68,70,62,73,91,88,25,70,94,83,41,69,49,58,78,85,69,67,56,84,44,85,94,77,93,63,88,88,70,55,60,80,90,93,91,7,14,17,11,15,,80,80,80,68,74,74,74,68,76,76,76,72,80,80,80,72,79,88,88,88,79,83,92,92,92,83,23
233746,https://sofifa.com/player/233746/vivianne-miedema/220002,V. Miedema,Vivianne Miedema,Vivianne Miedema,http://www.wikidata.org/entity/Q2754626,Arsenal W.F.C.,ST,92,93,,,24,178,65,,Arsenal W.F.C.,,,,,,,,,,34,Netherlands,113011,ST,9,Right,4,4,5,High/Low,Normal (170-185),,#Distance Shooter,Finesse Shot,81,93,75,88,32,79,69,95,89,87,90,90,76,71,67,91,80,81,77,92,73,91,73,79,85,92,66,27,95,68,78,91,22,30,23,14,16,17,14,17,,93,93,93,86,89,89,89,86,89,89,89,87,81,81,81,87,64,62,62,62,64,60,55,55,55,60,27
